registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_fips_code,fac_epa_region,fac_indian_cntry_flg,fac_federal_flg,fac_us_mex_border_flg,fac_chesapeake_bay_flg,fac_naa_flag,fac_lat,fac_long,fac_map_icon,fac_collection_method,fac_reference_point,fac_accuracy_meters,fac_derived_tribes,fac_derived_huc,fac_derived_wbd,fac_derived_stcty_fips,fac_derived_zip,fac_derived_cd113,fac_derived_cb2010,fac_percent_minority,fac_pop_den,fac_major_flag,fac_active_flag,fac_myrtk_universe,fac_inspection_count,fac_date_last_inspection,fac_days_last_inspection,fac_informal_count,fac_date_last_informal_action,fac_formal_action_count,fac_date_last_formal_action,fac_total_penalties,fac_penalty_count,fac_date_last_penalty,fac_last_penalty_amt,fac_qtrs_with_nc,fac_programs_with_snc,fac_compliance_status,fac_snc_flg,fac_3yr_compliance_history,air_flag,npdes_flag,sdwis_flag,rcra_flag,tri_flag,ghg_flag,air_ids,caa_permit_types,caa_naics,caa_sics,caa_evaluation_count,caa_days_last_evaluation,caa_informal_count,caa_formal_action_count,caa_date_last_formal_action,caa_penalties,caa_last_penalty_date,caa_last_penalty_amt,caa_qtrs_with_nc,caa_compliance_status,caa_hpv_flag,caa_3yr_compl_qtrs_history,npdes_ids,cwa_permit_types,cwa_compliance_tracking,cwa_naics,cwa_sics,cwa_inspection_count,cwa_days_last_inspection,cwa_informal_count,cwa_formal_action_count,cwa_date_last_formal_action,cwa_penalties,cwa_last_penalty_date,cwa_last_penalty_amt,cwa_qtrs_with_nc,cwa_compliance_status,cwa_snc_flag,cwa_13qtrs_compl_history,cwa_13qtrs_efflnt_exceedances,cwa_3_yr_qncr_codes,rcra_ids,rcra_permit_types,rcra_naics,rcra_inspection_count,rcra_days_last_evaluation,rcra_informal_count,rcra_formal_action_count,rcra_date_last_formal_action,rcra_penalties,rcra_last_penalty_date,rcra_last_penalty_amt,rcra_qtrs_with_nc,rcra_compliance_status,rcra_snc_flag,rcra_3yr_compl_qtrs_history,sdwa_ids,sdwa_system_types,sdwa_informal_count,sdwa_formal_action_count,sdwa_compliance_status,sdwa_snc_flag,tri_ids,tri_releases_transfers,tri_on_site_releases,tri_off_site_transfers,tri_reporter_in_past,fec_case_ids,fec_number_of_cases,fec_last_case_date,fec_total_penalties,ghg_ids,ghg_co2_releases,dfr_url,fac_sic_codes,fac_naics_codes,fac_date_last_inspection_epa,fac_date_last_inspection_state,fac_date_last_formal_act_epa,fac_date_last_formal_act_st,fac_date_last_informal_act_epa,fac_date_last_informal_act_st,fac_federal_agency,tri_reporter,fac_imp_water_flg
110072118599.0,RESIDENCE,1907 LYON AVENUE,BELMONT,CA,94002,SAN MATEO,6081.0,9.0,N,,N,,Y,37.523856,-122.295069,RCRA-IC-MN-N.png,GDT-ADDRESS MATCHING (GEOCODING),ENTRANCE POINT OF A FACILITY OR STATION,150.0,,18050004.0,180500040902.0,6081.0,94002.0,14.0,60816087001002.0,,,,,NNN,0,,,0,,0,,0,,,0,0.0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAC003362662,Other,56299,,,,,,,,,0.0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110072118599,,56299,,,,,,,,,
110070859765.0,MARK SOLOMAN,826 TARAVAL ST.,SAN FRANCISCO,CA,94116,SAN FRANCISCO,6075.0,,N,,N,,Y,37.74311,-122.475064,RCRA-IC-MN-N.png,GDT-ADDRESS MATCHING (GEOCODING),ENTRANCE POINT OF A FACILITY OR STATION,150.0,Lytton Rancheria of California - 17 mile(s),18050006.0,180500060204.0,6075.0,94116.0,12.0,60750304005005.0,,,,,NNN,0,,,0,,0,,0,,,0,0.0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAC003074317 CAC003074341,Other,56299,,,,,,,,,0.0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110070859765,,56299,,,,,,,,,
110070537285.0,PARK VILLA SOUTH 8075A,8075 CAMINITO DE PIZZA #A,SAN DIEGO,CA,92108,SAN DIEGO,6073.0,,N,,Y,,Y,32.77284,-117.151079,RCRA-IC-MN-N.png,GDT-ADDRESS MATCHING (GEOCODING),ENTRANCE POINT OF A FACILITY OR STATION,150.0,"Sycuan Band of the Kumeyaay Nation - 15 mile(s), Jamul Indian Village of California - 17 mile(s), Capitan Grande Band of Diegueno Mission Indians of California: Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California - 18 mile(s), Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California) - 23 mile(s)",18070304.0,180703040705.0,6073.0,92108.0,53.0,60730093043003.0,47.292,7227.8,,Y,NNN,0,,,0,,0,,0,,,0,0.0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAC002998147,Other,56299,,,,,,,,,0.0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110070537285,,56299,,,,,,,,,
110033148706.0,PORTABLE AJAX DPC360 COMP ENGS,PORTABLE SOURCE,PORTABLE SOURCE,NM,77777,PORTABLE SOURCE,,6.0,N,,,,N,34.439127,-106.126151,no_ll.png,State Centroid,,100000.0,,,,,,,,,,,Y,NNN,0,,,0,,0,,0,,,0,0.0,0,No Violation Identified,N,____________,Y,N,N,N,N,N,NM0000003577701261 NM0000003577701283,Minor Emissions,211111 999999,1311,,,,,,,,,0.0,No Violation Identified,N,____________,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110033148706,1311,211111 999999,,,,,,,,,
110070679363.0,CORNING UNIFIED SCHOOL DISTRICT,864 HOAG STREET,CORNING,CA,96021,TEHAMA,6103.0,,N,,N,,N,39.927209,-122.186946,RCRA-IC-MN-N.png,GDT-ADDRESS MATCHING (GEOCODING),ENTRANCE POINT OF A FACILITY OR STATION,150.0,"Paskenta Band of Nomlaki Indians of California - 4 mile(s), Grindstone Indian Rancheria of Wintun-Wailaki Indians of California - 25 mile(s)",18020103.0,180201570701.0,6103.0,96021.0,1.0,61030011006007.0,,,,,NNN,0,,,0,,0,,0,,,0,0.0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAC003045609,Other,56299,,,,,,,,,0.0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110070679363,,56299,,,,,,,,,
110051047728.0,LEMMON VALLEY HORSEMANS PARK,,,NV,,WASHOE,32031.0,9.0,N,,,,N,40.73132,-119.66327,no_ll.png,County Centroid,,30000.0,,,,,,,,,,,Y,NNN,0,,,0,02/05/2014,0,,0,,,0,0.0,0,No Violation Identified,N,____________,N,N,Y,N,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,NV0004077,Transient non-community system,,,No Violation Identified,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110051047728,,,,,,,,02/05/2014,,,
110071866221.0,DILLION PROP - 524 GAP NEWPORT PIKE,524 GAP NEWPORT PIKE,AVONDALE,PA,19311,,42029.0,3.0,N,,,,Y,39.833926,-75.790769,CWA-IC-MN-N.png,,CENTER OF A FACILITY OR STATION,35900.0,,2040205.0,20402050303.0,42029.0,19390.0,16.0,420293117001037.0,39.573,608.89,,Y,NNN,0,,,0,,0,,0,,,0,0.0,0,No Violation Identified,N,____________,N,Y,N,N,N,N,,,,,,,,,,,,,,,N,,PAD150334,Non-M,On,236220,,,,,,,,,,0.0,No Violation Identified,N,_____________,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110071866221,,236220,,,,,,,,,Y
110055473250.0,RITE AID 2433,813 3RD AVE,NEW BRIGHTON,PA,15066,BEAVER,42007.0,3.0,N,,,,Y,40.73466,-80.31385,RCRA-IC-MN-3.png,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,30.0,,5030104.0,50301040103.0,42007.0,15066.0,12.0,420076054003028.0,13.102,1410.95,,Y,NNN,1,02/23/2024,744.0,0,,0,,0,,,0,0.0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,PAR000538389,Other,45611,1.0,743.0,,,,,,,0.0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110055473250,,45611,,02/23/2024,,,,,,,
110071331803.0,805 BETH COURT,805 BETH COURT,SANTA MARIA,CA,93454,SANTA BARBARA,6083.0,,N,,N,,N,34.960663,-120.427612,RCRA-IC-MN-N.png,GDT-ADDRESS MATCHING (GEOCODING),ENTRANCE POINT OF A FACILITY OR STATION,150.0,,18060008.0,180600080603.0,6083.0,93454.0,24.0,60830022052018.0,,,,,NNN,0,,,0,,0,,0,,,0,0.0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,CAC003192445,Other,56299,,,,,,,,,0.0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110071331803,,56299,,,,,,,,,
110007515910.0,ELK MOUNTAIN FARMS BOUNDARY,HWY 95 5 MI N OF BONNERS FERRY,BONNERS FERRY,ID,83805,BOUNDARY,16021.0,10.0,N,,,,N,48.832637,-116.499445,no_ll.png,Zip Code Centroid,,10000.0,,,,,,,,,,,,NNN,0,,,0,,0,,0,,,0,0.0,0,No Violation Identified,N,____________,N,N,N,Y,N,N,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,N,,,,IDD984669630,Other,,,,,,,,,,0.0,No Violation Identified,N,____________,,,,,,N,,,,,,,,,,,,http://echo.epa.gov/detailed-facility-report?fid=110007515910,,,,,,,,,,,
